-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG          |Name         |Ref |Lam_lab |Ion       |Lam_obs |F(lambda) |F_Er|I(lambda) |I_Em |I_Ep |Mult    |Lower Term      |Upper Term      |g1      |g2      
-------------|-------------|----|--------|----------|--------|----------|----|----------|-----|-----|--------|----------------|----------------|--------|--------
PNG003.1+02.9|Hb 4 (shell) |D21 |4514.86 |N III     |4511.94 |0.090     |10.6|0.129     |-12.0|12.9 |V3      |3s' 4P*         |3p' 4D          |6       |8       
PNG003.1+02.9|Hb 4 (shell) |D21 |4530.86 |N III     |4529.54 |0.014     |36.1|0.020     |-40.4|42.7 |V3      |3s' 4P*         |3p' 4D          |4       |2       
PNG003.1+02.9|Hb 4 (shell) |D21 |4534.58 |N III     |4536.01 |0.040     |39.3|0.056     |-43.6|47.4 |V3      |3s' 4P*         |3p' 4D          |6       |6       
PNG003.1+02.9|Hb 4 (shell) |D21 |4541.59 |He II     |4540.17 |0.226     |3.7 |0.316     |-4.2 |4.5  |4.9     |4f+ 2F*         |9g+ 2G          |32      |*       
PNG003.1+02.9|Hb 4 (shell) |D21 |4562.60 |Mg I]     |4560.87 |0.055     |12.5|0.075     |-13.3|14.6 |        |3s2 1S          |3s3p 3P*        |1       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |4571.10 |Mg I]     |4569.30 |0.105     |8.2 |0.142     |-9.0 |9.6  |        |3s2 1S          |3s3p 3P*        |1       |3       
PNG003.1+02.9|Hb 4 (shell) |D21 |4595.96 |O II      |4594.50 |0.026     |30.4|0.034     |-34.3|35.9 |V15     |3s' 2D          |3p' 2F*         |6       |6       
PNG003.1+02.9|Hb 4 (shell) |D21 |4610.20 |O II      |4606.37 |0.059     |20.1|0.077     |-22.1|23.3 |V92c    |3d 2D           |4f F2*          |4       |6       
PNG003.1+02.9|Hb 4 (shell) |D21 |4621.25 |O II      |4620.09 |0.032     |20.3|0.041     |-22.4|23.7 |V92     |3d 2D           |4f 2[2]*        |6       |6       
PNG003.1+02.9|Hb 4 (shell) |D21 |4621.39 |N II      |4616.85 |0.010     |45.5|0.013     |-51.6|53.9 |V5      |3s 3P*          |3p 3P           |3       |1       
PNG003.1+02.9|Hb 4 (shell) |D21 |4634.14 |N III     |4632.95 |0.549     |7.9 |0.696     |-8.7 |9.2  |V2      |3p 2P*          |3d 2D           |2       |4       
PNG003.1+02.9|Hb 4 (shell) |D21 |4641.81 |O II      |4639.24 |1.588     |12.2|1.998     |-13.6|14.3 |V1      |3s 4P           |3p 4D*          |4       |6       
PNG003.1+02.9|Hb 4 (shell) |D21 |4647.42 |C III     |4648.21 |0.159     |19.0|0.199     |-21.3|22.5 |V1      |3s 3S           |3p 3P*          |3       |5       
PNG003.1+02.9|Hb 4 (shell) |D21 |4661.63 |O II      |4660.01 |0.097     |25.3|0.120     |-28.2|29.0 |V1      |3s 4P           |3p 4D*          |4       |4       
PNG003.1+02.9|Hb 4 (shell) |D21 |4669.27 |O II      |4668.52 |0.046     |22.4|0.056     |-22.9|25.7 |V89b    |3d 2D           |4f D2*          |4       |6       
