-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG          |Name         |Ion         |Line      |Lam_lab |Wght|Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG003.1+02.9|Hb 4 (shell) |Fe^2+       |[Fe III]  |4733.91 |1   |6.72283e-07 |-2.18180e-07|2.08642e-07 
PNG003.1+02.9|Hb 4 (shell) |Fe^2+       |[Fe III]  |5270.40 |8   |1.54810e-07 |-3.18459e-08|3.20035e-08 
PNG003.1+02.9|Hb 4 (N-knot)|N^+         |[N II]    |6548.10 |1   |4.66672e-05 |-1.85244e-06|2.05240e-06 
PNG003.1+02.9|Hb 4 (N-knot)|N^+         |[N II]    |6583.50 |3   |5.12056e-05 |-1.82741e-06|2.46228e-06 
PNG003.1+02.9|Hb 4 (N-knot)|O^0         |[O I]     |6300.34 |3   |1.42688e-05 |-1.26824e-06|1.57395e-06 
PNG003.1+02.9|Hb 4 (N-knot)|O^0         |[O I]     |6363.78 |1   |8.57169e-06 |-1.15217e-06|1.24129e-06 
PNG003.1+02.9|Hb 4 (N-knot)|O^+         |[O II]    |3726.03 |38  |1.64107e-04 |-5.12910e-06|4.89294e-06 
PNG003.1+02.9|Hb 4 (N-knot)|O^+         |[O II]    |7319.99 |1   |2.42733e-04 |-1.08266e-05|1.29510e-05 
PNG003.1+02.9|Hb 4 (N-knot)|O^2+        |[O III]   |4958.91 |1   |3.50154e-04 |-6.22092e-06|6.66823e-06 
PNG003.1+02.9|Hb 4 (N-knot)|O^2+        |[O III]   |5006.84 |3   |3.72840e-04 |-4.93283e-06|5.99962e-06 
PNG003.1+02.9|Hb 4 (N-knot)|Ne^2+       |[Ne III]  |3868.75 |1   |1.58090e-04 |-4.65075e-06|4.12871e-06 
PNG003.1+02.9|Hb 4 (N-knot)|S^+         |[S II]    |6716.44 |1   |1.13861e-06 |-6.72217e-08|7.71630e-08 
PNG003.1+02.9|Hb 4 (N-knot)|S^+         |[S II]    |6730.82 |1   |1.13818e-06 |-5.53038e-08|7.19628e-08 
PNG003.1+02.9|Hb 4 (N-knot)|Ar^2+       |[Ar III]  |7135.80 |1   |1.75353e-06 |-7.45227e-08|9.05268e-08 
PNG003.1+02.9|Hb 4 (S-knot)|N^+         |[N II]    |6548.10 |1   |4.28315e-05 |-2.30152e-06|3.32407e-06 
PNG003.1+02.9|Hb 4 (S-knot)|N^+         |[N II]    |6583.50 |3   |4.98849e-05 |-2.49289e-06|3.61973e-06 
PNG003.1+02.9|Hb 4 (S-knot)|O^0         |[O I]     |6300.34 |3   |2.46275e-05 |-1.83251e-06|2.23381e-06 
PNG003.1+02.9|Hb 4 (S-knot)|O^0         |[O I]     |6363.78 |1   |2.77139e-05 |-7.23469e-06|8.54022e-06 
PNG003.1+02.9|Hb 4 (S-knot)|O^+         |[O II]    |3726.03 |43  |1.90149e-04 |-1.02984e-05|7.64262e-06 
PNG003.1+02.9|Hb 4 (S-knot)|O^+         |[O II]    |7319.99 |1   |2.40246e-04 |-1.50895e-05|1.98610e-05 
PNG003.1+02.9|Hb 4 (S-knot)|O^2+        |[O III]   |4958.91 |1   |2.63309e-04 |-3.44051e-06|4.13907e-06 
PNG003.1+02.9|Hb 4 (S-knot)|O^2+        |[O III]   |5006.84 |3   |2.89927e-04 |-3.65427e-06|4.41525e-06 
PNG003.1+02.9|Hb 4 (S-knot)|Ne^2+       |[Ne III]  |3868.75 |1   |9.92836e-05 |-4.84282e-06|3.67936e-06 
PNG003.1+02.9|Hb 4 (S-knot)|S^+         |[S II]    |6716.44 |1   |1.02290e-06 |-5.94334e-08|8.98979e-08 
PNG003.1+02.9|Hb 4 (S-knot)|S^+         |[S II]    |6730.82 |1   |1.02204e-06 |-6.00538e-08|8.21016e-08 
PNG003.1+02.9|Hb 4 (S-knot)|Ar^2+       |[Ar III]  |7135.80 |1   |1.76069e-06 |-1.06585e-07|1.42276e-07 
PNG358.3-21.6|IC 1297      |N^0         |[N I]     |5199.84 |1   |2.61330e-07 |-6.65486e-08|6.89066e-08 
PNG358.3-21.6|IC 1297      |N^+         |[N II]    |6548.10 |1   |1.16337e-05 |-2.29116e-07|1.90286e-07 
PNG358.3-21.6|IC 1297      |N^+         |[N II]    |6583.50 |3   |1.22780e-05 |-2.74816e-07|2.25369e-07 
PNG358.3-21.6|IC 1297      |O^0         |[O I]     |6300.34 |3   |4.08234e-06 |-9.89689e-08|7.77565e-08 
PNG358.3-21.6|IC 1297      |O^0         |[O I]     |6363.78 |1   |4.14340e-06 |-1.40567e-07|1.35707e-07 
PNG358.3-21.6|IC 1297      |O^+         |[O II]    |3726.03 |1   |6.82418e-05 |-7.89594e-07|9.09265e-07 
PNG358.3-21.6|IC 1297      |O^2+        |[O III]   |4958.91 |1   |4.12961e-04 |-2.63463e-06|2.98220e-06 
PNG358.3-21.6|IC 1297      |O^2+        |[O III]   |5006.84 |3   |3.98900e-04 |-1.40129e-06|1.54359e-06 
PNG358.3-21.6|IC 1297      |Ne^2+       |[Ne III]  |3868.75 |3   |1.14191e-04 |-1.20881e-06|1.42901e-06 
PNG358.3-21.6|IC 1297      |Ne^2+       |[Ne III]  |3967.46 |1   |1.74526e-04 |-1.76426e-06|1.86843e-06 
PNG358.3-21.6|IC 1297      |S^+         |[S II]    |6716.44 |1   |4.50637e-07 |-9.19012e-09|7.23027e-09 
PNG358.3-21.6|IC 1297      |S^+         |[S II]    |6730.82 |1   |4.50721e-07 |-9.83776e-09|7.00330e-09 
PNG358.3-21.6|IC 1297      |S^2+        |[S III]   |6312.10 |1   |4.87611e-06 |-1.14418e-07|9.39561e-08 
PNG358.3-21.6|IC 1297      |Cl^2+       |[Cl III]  |5517.66 |1   |5.31484e-08 |-1.91208e-09|2.15652e-09 
PNG358.3-21.6|IC 1297      |Cl^2+       |[Cl III]  |5537.60 |1   |5.31511e-08 |-2.36473e-09|2.45484e-09 
PNG358.3-21.6|IC 1297      |Ar^2+       |[Ar III]  |7135.80 |4   |1.22203e-06 |-2.67580e-08|2.25210e-08 
PNG358.3-21.6|IC 1297      |Ar^2+       |[Ar III]  |7751.43 |1   |1.03883e-06 |-2.61106e-08|2.33626e-08 
PNG358.3-21.6|IC 1297      |Ar^3+       |[Ar IV]   |4711.37 |1   |3.84369e-07 |-1.15197e-08|1.32275e-08 
PNG358.3-21.6|IC 1297      |Ar^3+       |[Ar IV]   |4740.17 |1   |3.77003e-07 |-7.57470e-09|7.63929e-09 
PNG358.3-21.6|IC 1297      |Fe^2+       |[Fe III]  |4769.40 |1   |1.17770e-07 |-3.37606e-08|3.64229e-08 
PNG358.3-21.6|IC 1297      |Fe^2+       |[Fe III]  |4881.11 |1   |2.05351e-07 |-4.18932e-08|4.66264e-08 
PNG358.3-21.6|IC 1297      |Fe^2+       |[Fe III]  |5270.40 |1   |9.09738e-08 |-2.37447e-08|2.69804e-08 
PNG306.4-00.6|Th 2-A       |N^+         |[N II]    |6548.10 |1   |3.28937e-05 |-9.85736e-07|1.06428e-06 
PNG306.4-00.6|Th 2-A       |N^+         |[N II]    |6583.50 |3   |3.64800e-05 |-1.00011e-06|8.94945e-07 
