-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG          |Name         |Ion         |Line      |Lam_lab |Wght|Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG011.7-00.6|NGC 6567     |C^2+        |C II      |6461.95 |2   |1.15025e-03 |-3.41790e-05|2.63945e-05 
PNG011.7-00.6|NGC 6567     |C^3+        |C III     |4651.47 |1   |1.87688e-03 |-2.02392e-04|2.40061e-04 
PNG011.7-00.6|NGC 6567     |N^2+        |N II      |4788.13 |1   |1.62960e-03 |-2.14507e-04|2.34077e-04 
PNG011.7-00.6|NGC 6567     |O^2+        |O II      |4890.86 |1   |5.91486e-03 |-8.75492e-04|8.45953e-04 
PNG009.4-05.0|NGC 6629     |He^+        |He I      |4471.50 |7   |9.50476e-02 |-1.44671e-03|1.30389e-03 
PNG009.4-05.0|NGC 6629     |He^+        |He I      |5875.66 |20  |9.91855e-02 |-5.78564e-04|5.85598e-04 
PNG009.4-05.0|NGC 6629     |He^+        |He I      |6678.16 |6   |1.01595e-01 |-7.85169e-04|8.76291e-04 
PNG009.4-05.0|NGC 6629     |He^+        |He I      |7281.35 |1   |1.08033e-01 |-9.22854e-04|6.07295e-04 
PNG009.4-05.0|NGC 6629     |C^2+        |C II      |6151.43 |1   |6.97773e-04 |-1.24507e-04|9.99859e-05 
PNG009.4-05.0|NGC 6629     |C^2+        |C II      |6461.95 |3   |3.09111e-04 |-4.53338e-05|4.41506e-05 
PNG009.4-05.0|NGC 6629     |O^2+        |O II      |4638.85 |12  |4.66738e-04 |-2.64858e-04|2.83100e-04 
PNG009.4-05.0|NGC 6629     |O^2+        |O II      |4650.84 |13  |4.34417e-04 |-2.72826e-04|1.87464e-04 
PNG009.4-05.0|NGC 6629     |O^2+        |O II      |4661.63 |13  |1.06566e-03 |-1.09145e-04|8.93005e-05 
PNG009.4-05.0|NGC 6629     |O^2+        |O II      |4696.35 |1   |6.53011e-03 |-1.62154e-03|1.82160e-03 
PNG358.0-04.6|Sa 3-107     |He^+        |He I      |4471.50 |1   |1.07335e-01 |-3.01949e-03|2.88725e-03 
PNG358.0-04.6|Sa 3-107     |He^+        |He I      |5875.66 |3   |1.22680e-01 |-8.23230e-04|9.20672e-04 
PNG358.0-04.6|Sa 3-107     |He^+        |He I      |6678.16 |1   |1.21446e-01 |-1.69690e-03|1.58080e-03 
PNG358.0-04.6|Sa 3-107     |He^2+       |He II     |4685.68 |1   |1.21615e-03 |-4.62494e-05|4.52266e-05 
PNG358.0-04.6|Sa 3-107     |C^2+        |C II      |6151.43 |1   |8.02068e-04 |-1.23180e-04|1.24978e-04 
PNG358.0-04.6|Sa 3-107     |C^2+        |C II      |6461.95 |3   |8.08668e-04 |-6.53871e-05|6.70993e-05 
PNG358.0-04.6|Sa 3-107     |C^3+        |C III     |4647.42 |1   |5.76160e-04 |-7.14209e-05|6.49826e-05 
PNG358.0-04.6|Sa 3-107     |N^2+        |N II      |4803.29 |2   |6.48802e-04 |-1.13499e-04|1.20973e-04 
PNG358.0-04.6|Sa 3-107     |N^2+        |N II      |5710.77 |1   |1.01922e-03 |-1.73946e-04|1.60609e-04 
PNG358.0-04.6|Sa 3-107     |N^2+        |N II      |5941.65 |2   |8.31380e-04 |-1.06038e-04|1.00766e-04 
PNG358.0-04.6|Sa 3-107     |N^3+        |N III     |4640.64 |1   |1.22417e-04 |-1.78091e-05|1.72250e-05 
