-------------|-------------|------------|-------|--------|------------|------------|------------
PNG          |Name         |Ion         |Type   |icf_Ref |Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|-------|--------|------------|------------|------------
PNG017.9-04.8|M 3-30       |icf(N)      |CEL    |KB94    |2.10020e+01 |-4.74491e-01|4.97338e-01 
PNG017.9-04.8|M 3-30       |N/H         |CEL    |KB94    |1.99931e-04 |-5.06580e-06|5.77313e-06 
PNG017.9-04.8|M 3-30       |icf(N)      |CEL    |DMS14   |1.67270e+01 |-9.98805e+00|1.35021e+01 
PNG017.9-04.8|M 3-30       |N/H         |CEL    |DMS14   |1.59235e-04 |-1.16276e-04|1.79919e-04 
PNG017.9-04.8|M 3-30       |O^+/H       |CEL    |        |1.95482e-05 |-1.88523e-07|1.82488e-07 
PNG017.9-04.8|M 3-30       |O^2+/H      |CEL    |        |2.61168e-04 |-2.02277e-06|2.28573e-06 
PNG017.9-04.8|M 3-30       |icf(O)      |CEL    |KB94    |1.46252e+00 |-1.08467e-02|9.56417e-03 
PNG017.9-04.8|M 3-30       |O/H         |CEL    |KB94    |4.10552e-04 |-5.10327e-06|5.40131e-06 
PNG017.9-04.8|M 3-30       |icf(O)      |CEL    |DMS14   |1.44959e+00 |-3.03728e-01|3.03728e-01 
PNG017.9-04.8|M 3-30       |O/H         |CEL    |DMS14   |4.06923e-04 |-1.01757e-04|1.06509e-04 
PNG017.9-04.8|M 3-30       |Ne^2+/H     |CEL    |        |9.36814e-05 |-9.82057e-07|9.91164e-07 
PNG017.9-04.8|M 3-30       |icf(Ne)     |CEL    |KB94    |1.57198e+00 |-3.34819e-02|3.35042e-02 
PNG017.9-04.8|M 3-30       |Ne/H        |CEL    |KB94    |1.47266e-04 |-3.37521e-06|4.30114e-06 
PNG017.9-04.8|M 3-30       |icf(Ne)     |CEL    |DMS14   |1.69487e+00 |-7.95341e-01|7.79640e-01 
